Female population of origin,Female habitat of origin,Male population of origin,Male habitat of origin,Male throat color morph,Male body size (PC1),Mating,Escapes,Time spent in same square,Time spent in two adjacent squares  (short side),Time spent in two adjacent squares (long side),Time spent in diagonally opposite squares
Diabatez,Island,Diabatez,Island,white,1.57687460306658,1,0,242,442,179,337
Diabatez,Island,Diabatez,Island,yellow-white,1.60332072272483,0,1,970,0,0,230
Diabatez,Island,Diabatez,Island,orange-white,1.92839037675962,0,0,846,160,134,60
Diabatez,Island,Diabatez,Island,orange-white,1.68161115611034,0,1,442,316,253,189
Diabatez,Island,Diabatez,Island,white,1.50070007415114,0,0,,,,
Diabatez,Island,Diabatez,Island,orange,1.73264454125809,0,0,840,120,120,120
Diabatez,Island,Diabatez,Island,orange-white,1.789398053743,0,3,600,374,100,126
Diabatez,Island,Diabatez,Island,orange,1.68944226701792,1,0,320,318,280,282
Diabatez,Island,Diabatez,Island,yellow-white,1.71111253313001,0,1,846,164,0,190
Diabatez,Island,Diabatez,Island,orange-white,1.74487054422338,0,1,544,216,172,268
Diabatez,Island,Diabatez,Island,yellow-white,1.11464277973015,0,0,278,30,442,450
Diabatez,Island,Diabatez,Island,yellow-white,1.33607222406576,0,0,350,390,150,310
Diabatez,Island,Diabatez,Island,yellow-white,1.11464277973015,0,1,116,621,464,0
Diabatez,Island,Diabatez,Island,yellow-white,1.33607222406576,0,0,819,157,183,42
Diabatez,Island,Diabatez,Island,orange-white,1.4473032190727,0,0,,,,
Diabatez,Island,Diabatez,Island,orange-white,1.50496181470943,0,0,,,,
Diabatez,Island,Diabatez,Island,,0.939799307385931,0,0,1185,15,0,0
Diabatez,Island,Diabatez,Island,yellow,0.620533015623906,0,0,1080,60,60,0
Diabatez,Island,Diabatez,Island,white,1.66229213935985,0,0,420,120,480,180
Diabatez,Island,Diabatez,Island,yellow-white,1.48332702040451,0,0,360,300,240,300
Diabatez,Island,Diabatez,Island,yellow,0.806957132682434,0,0,300,300,240,360
Diabatez,Island,Diabatez,Island,orange-white,1.20581399253405,0,0,360,120,660,60
Diabatez,Island,Diabatez,Island,yellow-white,0.952396251265147,1,0,1080,120,0,0
Diabatez,Island,Diabatez,Island,orange,0.785747622809817,1,1,990,45,30,135
Diabatez,Island,Diabatez,Island,orange,0.725290563247356,1,0,900,120,120,60
