"","Year","Total","Gas","Liquid","Solid","CementProduction","GasFlaring","Per.Capita"
"1",1751,NA,NA,NA,NA,NA,NA,NA
"2",1752,1,NA,NA,1,NA,NA,NA
"3",1753,1,NA,NA,1,NA,NA,NA
"4",1754,1,NA,NA,1,NA,NA,NA
"5",1755,1,NA,NA,1,NA,NA,NA
"6",1756,1,NA,NA,1,NA,NA,NA
"7",1757,1,NA,NA,1,NA,NA,NA
"8",1758,1,NA,NA,1,NA,NA,NA
"9",1759,1,NA,NA,1,NA,NA,NA
"10",1760,1,NA,NA,1,NA,NA,NA
"11",1761,1,NA,NA,1,NA,NA,NA
"12",1762,1,NA,NA,1,NA,NA,NA
"13",1763,1,NA,NA,1,NA,NA,NA
"14",1764,1,NA,NA,1,NA,NA,NA
"15",1765,1,NA,NA,1,NA,NA,NA
"16",1766,1,NA,NA,1,NA,NA,NA
"17",1767,1,NA,NA,1,NA,NA,NA
"18",1768,1,NA,NA,1,NA,NA,NA
"19",1769,1,NA,NA,1,NA,NA,NA
"20",1770,1,NA,NA,1,NA,NA,NA
"21",1771,1.33333333333333,NA,NA,1.33333333333333,NA,NA,NA
"22",1772,1.33333333333333,NA,NA,1.33333333333333,NA,NA,NA
"23",1773,1.33333333333333,NA,NA,1.33333333333333,NA,NA,NA
"24",1774,1.33333333333333,NA,NA,1.33333333333333,NA,NA,NA
"25",1775,1.33333333333333,NA,NA,1.33333333333333,NA,NA,NA
"26",1776,1.33333333333333,NA,NA,1.33333333333333,NA,NA,NA
"27",1777,1.33333333333333,NA,NA,1.33333333333333,NA,NA,NA
"28",1778,1.33333333333333,NA,NA,1.33333333333333,NA,NA,NA
"29",1779,1.33333333333333,NA,NA,1.33333333333333,NA,NA,NA
"30",1780,1.33333333333333,NA,NA,1.33333333333333,NA,NA,NA
"31",1781,1.66666666666667,NA,NA,1.66666666666667,NA,NA,NA
"32",1782,1.66666666666667,NA,NA,1.66666666666667,NA,NA,NA
"33",1783,1.66666666666667,NA,NA,1.66666666666667,NA,NA,NA
"34",1784,1.66666666666667,NA,NA,1.66666666666667,NA,NA,NA
"35",1785,1.66666666666667,NA,NA,1.66666666666667,NA,NA,NA
"36",1786,1.66666666666667,NA,NA,1.66666666666667,NA,NA,NA
"37",1787,1.66666666666667,NA,NA,1.66666666666667,NA,NA,NA
"38",1788,1.66666666666667,NA,NA,1.66666666666667,NA,NA,NA
"39",1789,1.66666666666667,NA,NA,1.66666666666667,NA,NA,NA
"40",1790,1.66666666666667,NA,NA,1.66666666666667,NA,NA,NA
"41",1791,2,NA,NA,2,NA,NA,NA
"42",1792,2,NA,NA,2,NA,NA,NA
"43",1793,2,NA,NA,2,NA,NA,NA
"44",1794,2,NA,NA,2,NA,NA,NA
"45",1795,2,NA,NA,2,NA,NA,NA
"46",1796,2,NA,NA,2,NA,NA,NA
"47",1797,2.33333333333333,NA,NA,2.33333333333333,NA,NA,NA
"48",1798,2.33333333333333,NA,NA,2.33333333333333,NA,NA,NA
"49",1799,2.33333333333333,NA,NA,2.33333333333333,NA,NA,NA
"50",1800,2.66666666666667,NA,NA,2.66666666666667,NA,NA,NA
"51",1801,2.66666666666667,NA,NA,2.66666666666667,NA,NA,NA
"52",1802,3.33333333333333,NA,NA,3.33333333333333,NA,NA,NA
"53",1803,3,NA,NA,3,NA,NA,NA
"54",1804,3,NA,NA,3,NA,NA,NA
"55",1805,3,NA,NA,3,NA,NA,NA
"56",1806,3.33333333333333,NA,NA,3.33333333333333,NA,NA,NA
"57",1807,3.33333333333333,NA,NA,3.33333333333333,NA,NA,NA
"58",1808,3.33333333333333,NA,NA,3.33333333333333,NA,NA,NA
"59",1809,3.33333333333333,NA,NA,3.33333333333333,NA,NA,NA
"60",1810,3.33333333333333,NA,NA,3.33333333333333,NA,NA,NA
"61",1811,3.66666666666667,NA,NA,3.66666666666667,NA,NA,NA
"62",1812,3.66666666666667,NA,NA,3.66666666666667,NA,NA,NA
"63",1813,3.66666666666667,NA,NA,3.66666666666667,NA,NA,NA
"64",1814,3.66666666666667,NA,NA,3.66666666666667,NA,NA,NA
"65",1815,4,NA,NA,4,NA,NA,NA
"66",1816,4.33333333333333,NA,NA,4.33333333333333,NA,NA,NA
"67",1817,4.66666666666667,NA,NA,4.66666666666667,NA,NA,NA
"68",1818,4.66666666666667,NA,NA,4.66666666666667,NA,NA,NA
"69",1819,4.66666666666667,NA,NA,4.66666666666667,NA,NA,NA
"70",1820,4.66666666666667,NA,NA,4.66666666666667,NA,NA,NA
"71",1821,4.66666666666667,NA,NA,4.66666666666667,NA,NA,NA
"72",1822,5,NA,NA,5,NA,NA,NA
"73",1823,5.33333333333333,NA,NA,5.33333333333333,NA,NA,NA
"74",1824,5.33333333333333,NA,NA,5.33333333333333,NA,NA,NA
"75",1825,5.66666666666667,NA,NA,5.66666666666667,NA,NA,NA
"76",1826,5.66666666666667,NA,NA,5.66666666666667,NA,NA,NA
"77",1827,6,NA,NA,6,NA,NA,NA
"78",1828,6,NA,NA,6,NA,NA,NA
"79",1829,6,NA,NA,6,NA,NA,NA
"80",1830,8,NA,NA,8,NA,NA,NA
"81",1831,7.66666666666667,NA,NA,7.66666666666667,NA,NA,NA
"82",1832,7.66666666666667,NA,NA,7.66666666666667,NA,NA,NA
"83",1833,8,NA,NA,8,NA,NA,NA
"84",1834,8,NA,NA,8,NA,NA,NA
"85",1835,8.33333333333333,NA,NA,8.33333333333333,NA,NA,NA
"86",1836,9.66666666666667,NA,NA,9.66666666666667,NA,NA,NA
"87",1837,9.66666666666667,NA,NA,9.66666666666667,NA,NA,NA
"88",1838,10,NA,NA,10,NA,NA,NA
"89",1839,10.3333333333333,NA,NA,10.3333333333333,NA,NA,NA
"90",1840,11,NA,NA,11,NA,NA,NA
"91",1841,11.3333333333333,NA,NA,11.3333333333333,NA,NA,NA
"92",1842,12,NA,NA,12,NA,NA,NA
"93",1843,12.3333333333333,NA,NA,12.3333333333333,NA,NA,NA
"94",1844,13,NA,NA,13,NA,NA,NA
"95",1845,14.3333333333333,NA,NA,14.3333333333333,NA,NA,NA
"96",1846,14.3333333333333,NA,NA,14.3333333333333,NA,NA,NA
"97",1847,15.3333333333333,NA,NA,15.3333333333333,NA,NA,NA
"98",1848,15.6666666666667,NA,NA,15.6666666666667,NA,NA,NA
"99",1849,16.6666666666667,NA,NA,16.6666666666667,NA,NA,NA
"100",1850,18,NA,NA,18,NA,NA,NA
"101",1851,18,NA,NA,18,NA,NA,NA
"102",1852,19,NA,NA,19,NA,NA,NA
"103",1853,19.6666666666667,NA,NA,19.6666666666667,NA,NA,NA
"104",1854,23,NA,NA,23,NA,NA,NA
"105",1855,23.6666666666667,NA,NA,23.6666666666667,NA,NA,NA
